Sect,No.,Description,DRAWING/REF. No,Manufacturer,Material,Qty
04,1,"Stud Bolt 1/2""X70 mm for Tank",ASME B16.5,Farasazan Pick Gostar,S.S.316,42
04,2,"Nut 1/2"" for Tank",ASME B16.5,Farasazan Pick Gostar,S.S.316,84
02,3,Gasket for Tank Top Cover,SJEC-DGNRAS-ENMA-DWLO-0002,Iranian Company,FPM,26
26,4,Pump O-ring Set,SJEC-DGNRAS-ENMA-CTDS-0001,Prominent,NBR,52
26,5,Pump Diaphragm,SJEC-DGNRAS-ENMA-CTDS-0001,Prominent,PTFE,52
26,6,Pump Suction Delivery Valve,SJEC-DGNRAS-ENMA-CTDS-0001,Prominent,S.S.316,52
52,7,"GASKET 1/2"" #150",ASME B16.20,Atbin Ista,S.S.316,52
30,8,"Gasket 1"" #150",ASME B16.20,Atbin Ista,S.S.316,39
26,9,"GASKET 1/2"" #300",ASME B16.20,Atbin Ista,S.S.316,26
1/0,10,"Ball Valve 1/2"" Threaded",SJEC-DGNRAS-ENMA-DWLO-0001,VEE-LOK,S.S.316,4
17,11,"Ball Valve 1"" Flange #150",SJEC-DGNRAS-ENMA-DWLO-0001,FEVISA,S.S.316,2
26,12,"Tee 1"" SW #3000",ASME B16.11,BOTHWELL,S.S.316,1
13,13,"Elbow 1"" SW #3000",ASME B16.11,BOTHWELL,S.S.316,1
13,14,Circuit Breaker,SJEC-DGNRAS-ENMA-DIWI-0001,LS,-,2
65,15,Auxiliary Relay,SJEC-DGNRAS-ENMA-DIWI-0001,Finder,-,33
78,16,Push Button,SJEC-DGNRAS-ENMA-DIWI-0001,RAAD,-,23
650,17,Terminal Block,SJEC-DGNRAS-ENMA-DIWI-0001,RAAD,-,65
52,18,Pressure Gauge,SJEC-DGNRAS-ENMA-DSIN-0001,Sangan Sanat,-,6
17,19,Complete Head of Level Transmitter,SJEC-DGNRAS-ENMA-DSIN-0001,Eyvaz Technic,Aluminium,3
26,20,Relief Valve Disc & Disc Holder,SJEC-DGNRAS-ENMA-DSIN-0001,VIRCO,S.S.316,3
39,21,Motor Bearing Set,SJEC-DGNRAS-ENMA-DSEQ-0003,SKF,Antifriction,39
39,22,Motor Fan,SJEC-DGNRAS-ENMA-DSEQ-0003,SIEMENS,-,2
