Item_No,Description,Equipment_Class,Equipment_Req,Manufacturers_Model,Manufacturers_Serial_No,No_or_TAG_No,Total_Identical_Parts,Drawing_Ref_No,Real_Part_No,Material,Unit,Number_of_Parts_Per_Unit,Recommended_by_Manufacturer,Recommended_by_Contractor,Commissioning_Spares,Operational_Spare_Parts,Quantity_to_be_Supplied,Unit_Price,Total_Price,Remarks
1,Needle,Adj. Choke Valve,,,,,,BJ8071-7~19,,AISI 410,,,,,,5,5,,,"Choke -7-1/16'',#10000"
2,Stem,Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410,,,,,,2,2,,,"Choke -7-1/16'',#3000"
3,Stem,Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410,,,,,,4,4,,,"Choke -7-1/16'',#10000"
4,Seal Kit,Adj. Choke Valve,,,,,,BJ8071-1~19 Choke Valve,,HNBR/Teflon,,,,,,6,6,,,
5,Seal Kit,Adj. Choke Valve,,,,,,BJ8071-20~25,,HNBR/Teflon,,,,,,2,2,,,"Choke -7-1/16'',#3000"
6,Seal Kit,Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,HNBR/Teflon,,,,,,4,4,,,"Choke -7-1/16'',#10000"
7,Bonnet Gasket,Positive Choke Valve,,,,,,BJ8071-1~6,,SS316,,,,,,2,2,,,"Choke -7-1/16'',#3000"
8,Bonnet Gasket,,,,,,,BJ8071-7~19,,SS316,,,,,,5,5,,,"Choke -7-1/16'',#10000"
9,Bonnet Gasket,Adj. Choke Valve,,,,,,BJ8071-20~25,,SS316,,,,,,2,2,,,"Choke -7-1/16'',#3000"
10,Bonnet Gasket,,,,,,,BJ8071-26~38Rev0,,SS316,,,,,,4,4,,,"Choke -7-1/16'',#10000"
11,"Bean, 8/64""",Positive Choke Valve,,,,,,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,2,2,,,"Choke -7-1/16'',#3000"
12,"Bean, 16/64""",Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#3000"
13,"Bean, 24/64""",Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#10000"
14,"Bean, 28/64""",Adj. Choke Valve,,,,,,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,5,5,,,"Choke -7-1/16'',#10000"
15,"Bean, 32/64""",Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#3000"
16,"Bean, 36/64""",Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#10000"
17,"Bean, 40/64""",Adj. Choke Valve,,,,,,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,5,5,,,"Choke -7-1/16'',#10000"
18,"Bean, 44/64""",Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#3000"
19,"Bean, 48/64""",Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#10000"
20,"Bean, 56/64""",Adj. Choke Valve,,,,,,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,5,5,,,"Choke -7-1/16'',#10000"
21,"Bean, 64/64""",Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#3000"
22,"Bean, 72/64""",Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,2/6,2/6,,,"Choke -7-1/16'',#10000"
23,"Bean, 96/64""",Positive Choke Valve,,,,,,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,2,2,,,"Choke -7-1/16'',#3000"
24,"Bean, 116/64""",Positive Choke Valve,,,,,,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,2,2,,,"Choke -7-1/16'',#3000"
25,Seat,Adj. Choke Valve,,,,,,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,2,2,,,"Choke -7-1/16'',#3000"
26,Seat,Adj. Choke Valve,,,,,,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,4,4,,,"Choke -7-1/16'',#10000"
