Item No.,"UNIT (Kg, No., pair, set)",Total No. of Identical Parts Installed,DESCRIPTION OF PARTS,Drawing/Ref No.,Material,Recommended by manufacturer,Recommended by Contractor,Operational Spare Parts
1,Set,6,Seal Kit,BJ8071-1~19 Choke Valve,HNBR/Teflon,3/4/5,4,5
2,No.,6,Bonnet Gasket,BJ8071-1~19 Choke Valve,SS316,2,4,
3,No.,6,"Bean, 8/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
4,No.,6,"Bean, 16/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
5,No.,6,"Bean, 24/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
6,No.,6,"Bean, 32/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
7,No.,6,"Bean, 40/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
8,No.,6,"Bean, 48/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
9,No.,6,"Bean, 56/64""","BJ8071-1~6 Choke-7-1/16"",#3000 Positive Choke Valve",AISI 410 + SOLID TC,2,6,5
10,No.,6,"Bean, 96/64""","BJ8071-7~19 Choke-7-1/16"",#10000 Adj. Choke Valve",Solid TC,2,4,5
11,No.,6,"Bean, 116/64""","BJ8071-7~19 Choke-7-1/16"",#10000 Adj. Choke Valve",Solid TC,2,4,5
12,No.,6,Needle,"BJ8071-7~19 Choke-7-1/16"",#10000 Adj. Choke Valve",AISI 410,16,2,
13,Set,13,Seal Kit,"BJ8071-7~19 Choke-7-1/16"",#10000 Adj. Choke Valve",HNBR/Teflon,3/4/5,6,6
14,No.,13,Bonnet Gasket,"BJ8071-7~19 Choke-7-1/16"",#10000 Adj. Choke Valve",SS316,3/4,4,
15,No.,13,Stem,"BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410,16,2,5
16,Set,6,Seal Kit,"BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",HNBR/Teflon,3/4/5,6,5
17,No.,6,Bonnet Gasket,"BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",SS316,3/4,4,
18,No.,6,Seat,"BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,4
19,No.,18,"Bean, 28/64""","BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,5
20,No.,18,"Bean, 36/64""","BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,5
21,No.,18,"Bean, 44/64""","BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,5
22,No.,18,"Bean, 64/64""","BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,2
23,No.,18,"Bean, 72/64""","BJ8071-20~25 Choke-7-1/16"",#3000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,2
24,No.,13,Stem,"BJ8071-26~38 Rev0, Choke-7-1/16"",#10000 Adj. Choke Valve",AISI 410,16,2,5
25,Set,13,Seal Kit,"BJ8071-26~38 Rev0, Choke-7-1/16"",#10000 Adj. Choke Valve",HNBR/Teflon,3/4/5,6,6
26,No.,13,Bonnet Gasket,"BJ8071-26~38 Rev0, Choke-7-1/16"",#10000 Adj. Choke Valve",SS316,7,4,
27,No.,13,Seat,"BJ8071-26~38 Rev0, Choke-7-1/16"",#10000 Adj. Choke Valve",AISI 410 + SOLID TC,2,6,4
